day,wind_spread,wind_mean,t2m_spread,n_valid_times,lear_mae
2023-04-13 00:00:00+00:00,0.4156,4.3918,0.3209,8,29.8534
2023-04-14 00:00:00+00:00,0.1716,3.137,0.234,8,9.2288
2023-04-15 00:00:00+00:00,0.1835,4.2242,0.1536,8,19.6336
2023-04-16 00:00:00+00:00,0.1534,3.4096,0.1546,8,9.8882
2023-04-17 00:00:00+00:00,0.1589,3.5652,0.1814,8,12.0118
2023-04-18 00:00:00+00:00,0.1841,4.7383,0.1654,8,19.4872
2023-04-19 00:00:00+00:00,0.1969,5.0324,0.2503,8,9.5659
2023-04-20 00:00:00+00:00,0.1866,4.9692,0.2161,8,16.4488
2023-04-21 00:00:00+00:00,0.181,4.5726,0.197,8,21.7854
2023-04-22 00:00:00+00:00,0.1957,3.8786,0.2112,8,16.2514
2023-04-23 00:00:00+00:00,0.2245,3.4976,0.1655,8,15.8073
2023-04-24 00:00:00+00:00,0.2993,5.0108,0.2145,8,15.911
2023-04-25 00:00:00+00:00,0.3588,5.5505,0.346,8,18.3719
2023-04-26 00:00:00+00:00,0.2764,4.5146,0.3466,8,23.7039
2023-04-27 00:00:00+00:00,0.1958,3.0384,0.3616,8,17.7523
2023-05-04 00:00:00+00:00,0.229,2.8828,0.3425,8,18.0249
2023-05-05 00:00:00+00:00,0.2168,4.4282,0.3297,8,9.096
2023-05-06 00:00:00+00:00,0.2723,3.7686,0.2975,8,11.2156
2023-05-07 00:00:00+00:00,0.239,4.0272,0.3005,8,18.8205
2023-05-08 00:00:00+00:00,0.2065,3.7718,0.3835,8,8.248
2023-05-09 00:00:00+00:00,0.3163,4.4257,0.3915,8,9.2858
2023-05-10 00:00:00+00:00,0.2418,4.3498,0.2009,8,32.5942
2023-05-11 00:00:00+00:00,0.199,3.0649,0.2225,8,12.7178
2023-05-12 00:00:00+00:00,0.1719,3.8122,0.2238,8,18.6119
2023-05-13 00:00:00+00:00,0.1732,3.5057,0.1874,8,14.1471
2023-05-14 00:00:00+00:00,0.2203,2.828,0.2298,8,29.0862
2023-05-15 00:00:00+00:00,0.1999,3.0577,0.1758,8,10.8261
2023-05-16 00:00:00+00:00,0.2497,5.4191,0.2499,8,13.5567
2023-05-17 00:00:00+00:00,0.2309,5.2384,0.4101,8,16.416
2023-05-18 00:00:00+00:00,0.1444,2.8308,0.4545,8,26.7913
2023-05-19 00:00:00+00:00,0.165,3.2136,0.2696,8,5.0717
2023-05-20 00:00:00+00:00,0.1642,4.3119,0.2421,8,21.6584
2023-05-21 00:00:00+00:00,0.1625,3.9155,0.2299,8,32.2853
2023-05-22 00:00:00+00:00,0.1308,3.3964,0.2142,8,17.1281
2023-05-23 00:00:00+00:00,0.2406,4.9404,0.2671,8,8.0041
2023-05-24 00:00:00+00:00,0.1593,3.743,0.3033,8,20.4008
2023-05-25 00:00:00+00:00,0.2132,4.0516,0.3705,8,9.1058
2023-05-26 00:00:00+00:00,0.1887,4.154,0.42,8,10.9215
2023-05-27 00:00:00+00:00,0.1182,2.6804,0.3594,8,13.5823
2023-05-28 00:00:00+00:00,0.1684,2.9957,0.427,8,20.7374
2023-05-29 00:00:00+00:00,0.1507,3.9874,0.4431,8,15.0279
2023-05-30 00:00:00+00:00,0.1468,3.5023,0.4193,8,20.5633
2023-05-31 00:00:00+00:00,0.1371,3.9524,0.4377,8,12.3192
2023-06-01 00:00:00+00:00,0.1778,4.0729,0.4117,8,17.4163
2023-06-02 00:00:00+00:00,0.2463,3.5679,0.4773,8,13.8929
2023-06-03 00:00:00+00:00,0.1506,3.0788,0.4438,8,9.9789
2023-06-04 00:00:00+00:00,0.1138,2.7503,0.4179,8,32.6215
2023-06-05 00:00:00+00:00,0.1078,2.6491,0.3489,8,11.4323
2023-06-06 00:00:00+00:00,0.1097,2.8955,0.2712,8,14.9713
2023-06-07 00:00:00+00:00,0.1294,2.496,0.2182,8,14.0561
2023-06-08 00:00:00+00:00,0.1429,2.5287,0.2275,8,15.9724
2023-06-09 00:00:00+00:00,0.2133,3.3595,0.2151,8,25.1786
2023-06-10 00:00:00+00:00,0.181,4.4251,0.2542,8,12.2542
2023-06-11 00:00:00+00:00,0.2296,4.3302,0.4218,8,25.2148
2023-06-12 00:00:00+00:00,0.2225,3.9471,0.4797,8,11.4024
2023-06-13 00:00:00+00:00,0.18,3.8813,0.4206,8,7.52
